cvss_base_score,exploitability_score,impact_score,asset_criticality,network_exposure,exploit_available,days_since_published,device_type,mitre_attack_technique_count,risk_priority
5.3,9.6,9.8,medium,0.98,0,795,server,9,3
4.6,9.0,4.4,high,0.37,1,1921,ids,3,3
9.7,1.9,1.4,critical,0.71,0,920,server,6,2
7.4,8.4,1.2,critical,0.98,1,247,printer,9,3
8.9,3.2,4.3,critical,0.31,0,1286,printer,5,2
4.6,7.9,5.3,critical,0.57,0,1881,server,11,2
5.5,6.7,7.1,low,0.74,1,1077,printer,7,3
4.3,1.9,3.1,critical,0.9,0,1184,workstation,0,2
7.3,2.1,1.0,critical,0.83,1,1326,server,3,3
9.8,7.0,2.9,high,0.79,0,451,server,1,3
7.3,9.6,3.7,high,0.85,1,1553,firewall,9,4
6.6,7.0,6.6,critical,0.99,1,1702,server,1,4
4.6,6.1,2.7,low,0.4,0,1476,firewall,0,2
7.4,5.7,2.6,medium,0.22,0,1867,printer,9,2
5.5,7.7,2.1,medium,0.75,0,292,ids,9,2
5.7,5.4,3.6,medium,0.52,1,438,ids,7,3
7.7,1.9,2.0,high,0.8,0,1809,server,0,2
2.8,6.6,1.9,critical,0.8,0,1748,server,9,2
7.4,1.0,3.2,medium,0.47,1,454,ids,9,2
6.1,7.0,4.2,low,0.39,0,1248,firewall,6,2
4.9,7.2,5.5,medium,0.72,1,1425,server,11,3
5.5,1.4,5.9,medium,0.45,1,473,printer,5,2
9.9,4.0,4.0,high,0.92,0,975,ids,5,3
8.7,3.0,3.1,low,0.3,0,759,ids,4,2
5.3,1.9,2.0,low,0.24,1,283,firewall,9,2
9.5,9.9,6.8,low,0.63,0,1134,firewall,0,4
3.9,9.0,4.1,critical,0.88,1,1511,workstation,12,3
2.1,1.1,9.7,medium,0.73,1,258,ids,3,2
9.3,1.3,8.5,high,0.41,1,1858,firewall,12,3
6.2,4.2,4.6,low,0.68,0,580,printer,6,2
8.0,3.5,3.3,critical,0.59,1,1306,workstation,2,3
5.5,3.6,4.1,medium,0.78,0,1110,printer,1,2
4.9,8.7,1.2,critical,0.96,0,1563,server,6,2
9.5,4.2,5.0,low,0.76,0,59,firewall,10,3
4.2,2.8,6.1,high,0.73,1,485,server,2,2
8.8,7.9,2.5,high,0.92,0,55,ids,7,3
9.5,4.2,3.1,low,0.99,1,85,ids,7,4
2.6,9.3,4.8,low,0.3,1,1653,printer,10,2
7.5,5.4,4.8,critical,0.55,0,770,server,3,3
4.8,4.8,1.0,critical,0.45,0,466,workstation,4,1
7.8,8.7,7.3,medium,0.31,1,901,printer,4,3
5.4,9.9,3.4,critical,0.98,0,551,ids,11,3
3.6,4.9,3.9,high,0.42,0,1402,firewall,0,2
4.7,3.4,7.9,high,0.32,0,1195,firewall,1,2
8.8,9.4,8.0,high,0.92,1,1041,firewall,8,4
9.7,4.8,3.1,medium,0.37,0,2000,server,2,3
2.5,4.4,9.8,critical,0.91,1,153,printer,6,3
2.9,1.5,8.9,high,0.77,0,1274,server,10,2
8.0,1.5,1.9,medium,0.38,1,1315,server,9,2
9.0,7.8,8.6,low,0.69,1,660,server,3,4
5.7,6.1,9.7,high,0.87,1,1957,server,8,4
8.7,9.3,3.2,medium,0.97,0,1755,ids,7,3
6.1,5.3,3.8,low,0.32,0,1897,firewall,8,2
3.8,6.5,6.4,medium,0.24,0,536,server,2,2
4.3,9.9,4.2,critical,0.31,0,1984,printer,3,2
2.8,4.1,1.9,high,0.5,1,557,printer,8,2
8.2,5.3,1.0,low,0.32,1,81,server,7,3
9.0,9.0,4.3,low,0.61,0,1896,server,11,3
6.7,7.7,1.3,medium,0.18,1,1047,printer,7,2
6.1,1.0,9.8,critical,0.82,0,1327,server,7,3
2.6,3.3,3.0,low,0.25,0,416,firewall,12,1
9.6,4.6,6.8,high,0.72,0,1150,server,11,3
5.8,2.5,7.8,high,0.96,0,750,ids,5,3
6.9,9.4,9.9,medium,0.18,1,1674,workstation,11,3
5.0,3.7,4.1,critical,0.29,1,1552,server,12,2
8.0,4.0,2.9,medium,0.42,0,1538,firewall,12,2
3.8,2.1,8.9,critical,0.94,1,1784,firewall,8,3
4.5,9.5,4.3,low,0.34,0,63,firewall,6,2
8.7,5.2,7.2,low,0.4,0,1830,firewall,9,3
3.9,6.1,1.3,medium,0.35,1,1640,firewall,1,2
8.1,1.0,3.2,low,0.14,1,112,ids,10,2
2.8,6.8,1.3,high,0.24,1,428,server,10,2
2.6,2.2,3.6,high,0.77,0,890,firewall,0,1
3.9,2.3,1.6,low,0.82,1,1241,ids,11,2
5.9,7.1,8.7,high,0.33,1,790,workstation,7,3
5.8,9.9,2.9,critical,0.55,0,516,server,1,2
3.3,9.7,6.3,medium,0.67,1,1522,server,1,3
8.4,2.8,1.5,high,0.8,0,1378,workstation,9,2
4.4,7.4,1.8,critical,0.94,1,1134,firewall,9,3
9.6,6.0,1.8,medium,0.81,1,471,server,9,4
6.5,6.1,7.7,medium,0.61,0,755,printer,5,3
8.4,2.7,2.1,critical,0.73,0,1895,ids,10,2
4.2,9.5,8.3,critical,0.19,0,670,workstation,1,2
8.9,8.1,2.4,critical,0.59,1,1393,ids,10,3
9.9,4.7,8.2,high,0.79,0,1584,server,0,4
9.3,2.0,6.2,critical,0.14,0,1211,firewall,7,2
7.5,3.8,6.8,low,0.29,0,1421,server,12,2
5.8,1.8,2.6,critical,0.84,1,768,firewall,6,2
4.6,9.4,5.5,medium,0.46,0,699,server,12,2
8.1,1.4,9.7,low,0.69,1,1116,workstation,1,3
8.2,5.5,2.8,medium,0.91,1,91,firewall,9,3
5.4,9.9,8.7,critical,0.41,1,630,workstation,12,3
6.1,7.7,9.7,high,0.83,1,1766,ids,12,4
9.5,3.4,1.4,high,0.94,1,552,workstation,12,3
4.6,4.2,1.3,high,0.39,0,464,firewall,8,1
3.7,7.3,9.6,high,0.54,1,1460,ids,9,3
3.9,1.4,2.8,high,0.81,1,1855,workstation,9,2
8.5,1.7,4.1,medium,0.63,0,598,workstation,9,2
4.2,5.2,6.4,critical,0.65,1,1300,ids,2,3
3.0,8.8,6.4,critical,0.15,1,1944,firewall,5,2
2.9,8.7,9.8,critical,0.93,1,1812,firewall,2,3
