No,Time,Source,Destination,Protocol,Length,Info
1,0.012300,192.168.20.10,192.168.30.15,UDP,226,Flow 1: 192.168.20.10 -> 192.168.30.15
2,0.024600,192.168.20.10,192.168.10.100,HTTPS,196,Flow 2: 192.168.20.10 -> 192.168.10.100
3,0.036900,192.168.10.1,192.168.50.10,DHCP,315,Flow 3: 192.168.10.1 -> 192.168.50.10
4,0.049200,192.168.10.100,192.168.30.15,SMB,1456,Flow 4: 192.168.10.100 -> 192.168.30.15
5,0.061500,192.168.10.100,192.168.20.10,HTTP,669,Flow 5: 192.168.10.100 -> 192.168.20.10
6,0.073800,8.8.8.8,192.168.30.15,DHCP,994,Flow 6: 8.8.8.8 -> 192.168.30.15
7,0.086100,10.0.0.1,192.168.20.10,ARP,1151,Flow 7: 10.0.0.1 -> 192.168.20.10
8,0.098400,8.8.8.8,192.168.10.1,UDP,1327,Flow 8: 8.8.8.8 -> 192.168.10.1
9,0.110700,192.168.10.5,10.0.0.1,SMB,1424,Flow 9: 192.168.10.5 -> 10.0.0.1
10,0.123000,192.168.50.10,192.168.20.10,HTTP,458,Flow 10: 192.168.50.10 -> 192.168.20.10
11,0.135300,192.168.10.100,192.168.20.10,ARP,1371,Flow 11: 192.168.10.100 -> 192.168.20.10
12,0.147600,192.168.20.10,10.0.0.1,TCP,892,Flow 12: 192.168.20.10 -> 10.0.0.1
13,0.159900,192.168.10.1,192.168.50.10,HTTP,1328,Flow 13: 192.168.10.1 -> 192.168.50.10
14,0.172200,8.8.8.8,192.168.10.5,HTTP,995,Flow 14: 8.8.8.8 -> 192.168.10.5
15,0.184500,192.168.10.5,192.168.10.1,DNS,249,Flow 15: 192.168.10.5 -> 192.168.10.1
16,0.196800,10.0.0.1,192.168.10.5,ARP,203,Flow 16: 10.0.0.1 -> 192.168.10.5
17,0.209100,192.168.10.5,10.0.0.1,SSH,1064,Flow 17: 192.168.10.5 -> 10.0.0.1
18,0.221400,192.168.30.15,192.168.20.10,DHCP,344,Flow 18: 192.168.30.15 -> 192.168.20.10
19,0.233700,192.168.30.15,192.168.10.100,HTTP,202,Flow 19: 192.168.30.15 -> 192.168.10.100
20,0.246000,192.168.20.10,192.168.10.5,SMB,554,Flow 20: 192.168.20.10 -> 192.168.10.5
21,0.258300,10.0.0.1,192.168.30.15,DNS,1338,Flow 21: 10.0.0.1 -> 192.168.30.15
22,0.270600,192.168.30.15,192.168.10.100,SMB,975,Flow 22: 192.168.30.15 -> 192.168.10.100
23,0.282900,192.168.10.100,192.168.30.15,HTTP,1026,Flow 23: 192.168.10.100 -> 192.168.30.15
24,0.295200,192.168.10.1,192.168.10.5,TCP,496,Flow 24: 192.168.10.1 -> 192.168.10.5
25,0.307500,192.168.20.10,192.168.50.10,TELNET,1461,Unauthorized Telnet session attempt
26,0.319800,192.168.20.10,192.168.30.15,SSH,862,Flow 26: 192.168.20.10 -> 192.168.30.15
27,0.332100,10.0.0.1,8.8.8.8,ARP,69,Flow 27: 10.0.0.1 -> 8.8.8.8
28,0.344400,8.8.8.8,10.0.0.1,TCP,458,Flow 28: 8.8.8.8 -> 10.0.0.1
29,0.356700,192.168.10.100,192.168.20.10,ARP,517,Flow 29: 192.168.10.100 -> 192.168.20.10
30,0.369000,192.168.20.10,192.168.10.1,SSH,97,Flow 30: 192.168.20.10 -> 192.168.10.1
31,0.381300,192.168.50.10,192.168.10.5,TCP,387,Flow 31: 192.168.50.10 -> 192.168.10.5
32,0.393600,10.0.0.1,192.168.10.100,TCP,1406,Flow 32: 10.0.0.1 -> 192.168.10.100
33,0.405900,10.0.0.1,8.8.8.8,HTTP,1402,Flow 33: 10.0.0.1 -> 8.8.8.8
34,0.418200,192.168.10.5,192.168.50.10,DHCP,500,Flow 34: 192.168.10.5 -> 192.168.50.10
35,0.430500,10.0.0.1,192.168.30.15,HTTP,1210,Flow 35: 10.0.0.1 -> 192.168.30.15
36,0.442800,192.168.20.10,192.168.50.10,TCP,626,Flow 36: 192.168.20.10 -> 192.168.50.10
37,0.455100,192.168.50.10,192.168.10.5,HTTPS,550,Flow 37: 192.168.50.10 -> 192.168.10.5
38,0.467400,8.8.8.8,192.168.50.10,SMB,406,Flow 38: 8.8.8.8 -> 192.168.50.10
39,0.479700,192.168.30.15,192.168.10.5,TCP,373,Flow 39: 192.168.30.15 -> 192.168.10.5
40,0.492000,192.168.30.15,192.168.20.10,TCP,2000,Large outbound data transfer (Possible Exfiltration)
41,0.504300,192.168.30.15,192.168.10.5,SMB,1216,Flow 41: 192.168.30.15 -> 192.168.10.5
42,0.516600,192.168.30.15,192.168.20.10,ARP,380,Flow 42: 192.168.30.15 -> 192.168.20.10
43,0.528900,192.168.30.15,10.0.0.1,ARP,900,Flow 43: 192.168.30.15 -> 10.0.0.1
44,0.541200,192.168.10.5,192.168.10.100,SMB,1037,Flow 44: 192.168.10.5 -> 192.168.10.100
45,0.553500,192.168.10.100,8.8.8.8,UDP,583,Flow 45: 192.168.10.100 -> 8.8.8.8
46,0.565800,192.168.20.10,10.0.0.1,HTTP,467,Flow 46: 192.168.20.10 -> 10.0.0.1
47,0.578100,192.168.20.10,8.8.8.8,SMB,1327,Flow 47: 192.168.20.10 -> 8.8.8.8
48,0.590400,192.168.10.100,192.168.50.10,TCP,264,Flow 48: 192.168.10.100 -> 192.168.50.10
49,0.602700,10.0.0.1,192.168.30.15,DNS,835,Flow 49: 10.0.0.1 -> 192.168.30.15
50,0.615000,192.168.10.100,192.168.50.10,TELNET,850,Unauthorized Telnet session attempt
51,0.627300,8.8.8.8,10.0.0.1,HTTPS,1382,Flow 51: 8.8.8.8 -> 10.0.0.1
52,0.639600,192.168.50.10,8.8.8.8,DNS,1273,Flow 52: 192.168.50.10 -> 8.8.8.8
53,0.651900,192.168.50.10,192.168.20.10,DHCP,618,Flow 53: 192.168.50.10 -> 192.168.20.10
54,0.664200,192.168.10.1,192.168.50.10,DHCP,1294,Flow 54: 192.168.10.1 -> 192.168.50.10
55,0.676500,192.168.10.5,192.168.30.15,UDP,1143,Flow 55: 192.168.10.5 -> 192.168.30.15
56,0.688800,192.168.10.5,10.0.0.1,SSH,259,Flow 56: 192.168.10.5 -> 10.0.0.1
57,0.701100,192.168.10.100,8.8.8.8,ARP,1189,Flow 57: 192.168.10.100 -> 8.8.8.8
58,0.713400,192.168.10.100,192.168.20.10,SSH,822,Flow 58: 192.168.10.100 -> 192.168.20.10
59,0.725700,192.168.10.100,8.8.8.8,UDP,1058,Flow 59: 192.168.10.100 -> 8.8.8.8
60,0.738000,8.8.8.8,192.168.10.1,DNS,461,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA.example.com
61,0.750300,8.8.8.8,192.168.10.1,TCP,743,Flow 61: 8.8.8.8 -> 192.168.10.1
62,0.762600,192.168.20.10,192.168.30.15,TCP,1375,Flow 62: 192.168.20.10 -> 192.168.30.15
63,0.774900,192.168.10.100,192.168.20.10,UDP,543,Flow 63: 192.168.10.100 -> 192.168.20.10
64,0.787200,192.168.50.10,192.168.20.10,DHCP,425,Flow 64: 192.168.50.10 -> 192.168.20.10
65,0.799500,10.0.0.1,192.168.10.1,DHCP,1387,Flow 65: 10.0.0.1 -> 192.168.10.1
66,0.811800,192.168.30.15,192.168.10.1,DNS,655,Flow 66: 192.168.30.15 -> 192.168.10.1
67,0.824100,192.168.20.10,8.8.8.8,DHCP,148,Flow 67: 192.168.20.10 -> 8.8.8.8
68,0.836400,10.0.0.1,192.168.10.100,ARP,689,Flow 68: 10.0.0.1 -> 192.168.10.100
69,0.848700,192.168.10.100,192.168.10.5,UDP,432,Flow 69: 192.168.10.100 -> 192.168.10.5
70,0.861000,192.168.10.1,192.168.20.10,DNS,463,Flow 70: 192.168.10.1 -> 192.168.20.10
71,0.873300,192.168.20.10,192.168.30.15,HTTP,61,Flow 71: 192.168.20.10 -> 192.168.30.15
72,0.885600,10.0.0.1,192.168.30.15,SMB,790,Flow 72: 10.0.0.1 -> 192.168.30.15
73,0.897900,192.168.30.15,192.168.20.10,HTTP,992,Flow 73: 192.168.30.15 -> 192.168.20.10
74,0.910200,192.168.10.100,192.168.50.10,UDP,483,Flow 74: 192.168.10.100 -> 192.168.50.10
75,0.922500,192.168.10.1,192.168.10.100,TELNET,1284,Unauthorized Telnet session attempt
76,0.934800,192.168.50.10,192.168.10.100,DHCP,478,Flow 76: 192.168.50.10 -> 192.168.10.100
77,0.947100,192.168.50.10,8.8.8.8,SMB,1348,Flow 77: 192.168.50.10 -> 8.8.8.8
78,0.959400,192.168.30.15,192.168.50.10,SMB,976,Flow 78: 192.168.30.15 -> 192.168.50.10
79,0.971700,192.168.50.10,192.168.10.100,UDP,783,Flow 79: 192.168.50.10 -> 192.168.10.100
80,0.984000,192.168.50.10,192.168.20.10,TCP,2000,Large outbound data transfer (Possible Exfiltration)
81,0.996300,192.168.10.5,192.168.10.1,HTTP,74,Flow 81: 192.168.10.5 -> 192.168.10.1
82,1.008600,192.168.10.5,192.168.10.1,ARP,481,Flow 82: 192.168.10.5 -> 192.168.10.1
83,1.020900,192.168.50.10,192.168.30.15,DNS,659,Flow 83: 192.168.50.10 -> 192.168.30.15
84,1.033200,192.168.10.1,192.168.30.15,SMB,1454,Flow 84: 192.168.10.1 -> 192.168.30.15
85,1.045500,192.168.20.10,192.168.10.100,ARP,462,Flow 85: 192.168.20.10 -> 192.168.10.100
86,1.057800,192.168.20.10,192.168.50.10,HTTP,780,Flow 86: 192.168.20.10 -> 192.168.50.10
87,1.070100,8.8.8.8,192.168.30.15,SSH,1405,Flow 87: 8.8.8.8 -> 192.168.30.15
88,1.082400,192.168.10.100,192.168.20.10,SMB,593,Flow 88: 192.168.10.100 -> 192.168.20.10
89,1.094700,192.168.50.10,10.0.0.1,SSH,581,Flow 89: 192.168.50.10 -> 10.0.0.1
90,1.107000,192.168.10.100,192.168.30.15,UDP,638,Flow 90: 192.168.10.100 -> 192.168.30.15
91,1.119300,192.168.50.10,192.168.10.1,TCP,407,Flow 91: 192.168.50.10 -> 192.168.10.1
92,1.131600,192.168.30.15,192.168.20.10,DNS,190,Flow 92: 192.168.30.15 -> 192.168.20.10
93,1.143900,192.168.50.10,192.168.10.1,DHCP,1244,Flow 93: 192.168.50.10 -> 192.168.10.1
94,1.156200,192.168.20.10,10.0.0.1,DNS,773,Flow 94: 192.168.20.10 -> 10.0.0.1
95,1.168500,8.8.8.8,192.168.20.10,SSH,1364,Flow 95: 8.8.8.8 -> 192.168.20.10
96,1.180800,192.168.30.15,8.8.8.8,SSH,1113,Flow 96: 192.168.30.15 -> 8.8.8.8
97,1.193100,192.168.50.10,192.168.10.1,HTTPS,916,Flow 97: 192.168.50.10 -> 192.168.10.1
98,1.205400,192.168.20.10,8.8.8.8,HTTPS,591,Flow 98: 192.168.20.10 -> 8.8.8.8
99,1.217700,192.168.50.10,192.168.10.5,TCP,1452,Flow 99: 192.168.50.10 -> 192.168.10.5
100,1.230000,192.168.10.100,192.168.30.15,TELNET,1195,Unauthorized Telnet session attempt
101,1.242300,8.8.8.8,192.168.50.10,HTTP,767,Flow 101: 8.8.8.8 -> 192.168.50.10
102,1.254600,192.168.30.15,192.168.50.10,HTTPS,1489,Flow 102: 192.168.30.15 -> 192.168.50.10
103,1.266900,8.8.8.8,192.168.20.10,DNS,923,Flow 103: 8.8.8.8 -> 192.168.20.10
104,1.279200,192.168.10.5,192.168.20.10,HTTPS,1255,Flow 104: 192.168.10.5 -> 192.168.20.10
105,1.291500,192.168.20.10,192.168.10.5,TCP,822,Flow 105: 192.168.20.10 -> 192.168.10.5
106,1.303800,192.168.50.10,192.168.10.1,DNS,214,Flow 106: 192.168.50.10 -> 192.168.10.1
107,1.316100,192.168.30.15,192.168.10.5,HTTP,1361,Flow 107: 192.168.30.15 -> 192.168.10.5
108,1.328400,10.0.0.1,192.168.30.15,SSH,231,Flow 108: 10.0.0.1 -> 192.168.30.15
109,1.340700,192.168.30.15,192.168.10.100,DHCP,1206,Flow 109: 192.168.30.15 -> 192.168.10.100
110,1.353000,192.168.10.1,192.168.30.15,DNS,431,Flow 110: 192.168.10.1 -> 192.168.30.15
111,1.365300,192.168.10.5,10.0.0.1,ARP,387,Flow 111: 192.168.10.5 -> 10.0.0.1
112,1.377600,192.168.30.15,192.168.10.5,DHCP,1190,Flow 112: 192.168.30.15 -> 192.168.10.5
113,1.389900,192.168.10.100,8.8.8.8,SMB,107,Flow 113: 192.168.10.100 -> 8.8.8.8
114,1.402200,192.168.10.5,192.168.50.10,HTTP,917,Flow 114: 192.168.10.5 -> 192.168.50.10
115,1.414500,192.168.30.15,8.8.8.8,TCP,1443,Flow 115: 192.168.30.15 -> 8.8.8.8
116,1.426800,192.168.30.15,192.168.10.1,DHCP,861,Flow 116: 192.168.30.15 -> 192.168.10.1
117,1.439100,8.8.8.8,192.168.30.15,HTTP,985,Flow 117: 8.8.8.8 -> 192.168.30.15
118,1.451400,192.168.10.1,192.168.10.5,UDP,885,Flow 118: 192.168.10.1 -> 192.168.10.5
119,1.463700,192.168.20.10,10.0.0.1,ARP,932,Flow 119: 192.168.20.10 -> 10.0.0.1
120,1.476000,192.168.10.5,192.168.30.15,TCP,2000,Large outbound data transfer (Possible Exfiltration)
121,1.488300,192.168.30.15,192.168.20.10,HTTPS,443,Flow 121: 192.168.30.15 -> 192.168.20.10
122,1.500600,8.8.8.8,192.168.10.100,DNS,395,Flow 122: 8.8.8.8 -> 192.168.10.100
123,1.512900,192.168.10.100,192.168.20.10,HTTPS,1485,Flow 123: 192.168.10.100 -> 192.168.20.10
124,1.525200,10.0.0.1,192.168.10.5,HTTP,1436,Flow 124: 10.0.0.1 -> 192.168.10.5
125,1.537500,8.8.8.8,192.168.30.15,TELNET,1457,Unauthorized Telnet session attempt
126,1.549800,192.168.10.5,192.168.20.10,UDP,629,Flow 126: 192.168.10.5 -> 192.168.20.10
127,1.562100,192.168.30.15,192.168.10.100,SSH,675,Flow 127: 192.168.30.15 -> 192.168.10.100
128,1.574400,192.168.50.10,192.168.30.15,SMB,699,Flow 128: 192.168.50.10 -> 192.168.30.15
129,1.586700,192.168.10.5,8.8.8.8,SMB,843,Flow 129: 192.168.10.5 -> 8.8.8.8
130,1.599000,192.168.20.10,10.0.0.1,SSH,1019,Flow 130: 192.168.20.10 -> 10.0.0.1
