cvss_base_score,exploitability_score,impact_score,asset_criticality,network_exposure,exploit_available,days_since_published,device_type,mitre_attack_technique_count,risk_priority
3.2,5.2,8.7,medium,0.69,0,1447,firewall,8,2
7.9,2.2,8.8,critical,0.9,0,1573,firewall,7,3
6.6,5.9,8.6,high,0.22,1,508,firewall,4,3
6.6,3.5,6.5,low,0.81,1,1075,firewall,1,3
3.7,2.0,4.9,high,0.85,1,1930,server,12,2
6.3,9.8,7.6,low,0.86,0,1601,server,3,3
4.2,9.6,6.5,critical,0.87,1,1166,ids,6,3
6.2,2.5,7.4,high,0.13,1,870,ids,10,2
9.4,6.1,2.4,low,0.23,0,803,workstation,4,2
8.9,5.0,5.1,medium,0.29,1,893,workstation,4,3
8.4,5.5,4.9,medium,0.54,0,283,workstation,11,3
9.4,7.2,1.4,medium,0.77,0,1859,workstation,0,3
9.6,5.7,2.8,medium,0.26,0,1909,printer,10,3
6.9,2.0,4.0,medium,0.61,0,322,server,1,2
7.0,5.5,3.1,high,0.66,0,1129,firewall,9,2
5.7,2.5,7.3,low,0.17,1,1064,firewall,4,2
10.0,5.8,5.9,medium,0.47,1,168,ids,0,4
4.2,1.4,2.7,critical,0.5,0,1948,server,0,1
4.2,6.3,6.9,medium,0.13,0,136,firewall,8,2
6.8,5.5,1.5,critical,0.6,1,1159,firewall,6,3
3.0,7.4,7.1,high,0.27,1,1186,printer,11,2
8.4,4.2,9.8,critical,0.73,0,21,ids,12,3
9.1,6.5,8.9,low,0.66,1,359,firewall,5,4
9.7,1.8,5.7,critical,0.4,1,232,ids,10,3
5.4,2.0,3.9,critical,0.29,1,520,server,6,2
7.1,9.4,2.5,low,0.72,0,1304,printer,2,3
2.3,8.0,5.5,high,0.68,0,53,firewall,5,2
3.8,5.6,6.5,high,0.22,0,1490,firewall,10,2
7.9,9.5,5.7,medium,0.11,0,618,firewall,10,3
7.8,8.5,3.8,critical,0.55,0,798,printer,2,3
2.5,1.7,6.8,critical,0.65,0,1459,firewall,3,2
7.2,9.5,5.4,high,0.15,1,1833,server,3,3
3.6,5.5,1.7,low,0.6,0,1035,firewall,5,2
3.4,8.3,4.5,low,0.85,0,807,workstation,8,2
8.8,6.5,2.2,low,0.5,0,1066,server,2,3
2.6,7.5,3.7,high,0.66,0,1119,server,6,2
3.2,8.7,9.7,medium,0.92,1,1363,server,7,3
8.7,2.5,4.3,medium,0.68,0,1153,server,7,3
4.7,2.2,8.9,medium,0.57,0,61,firewall,1,2
2.8,2.0,6.8,low,0.17,1,20,server,3,2
8.2,9.7,8.3,medium,0.4,0,595,workstation,2,3
2.7,4.9,5.3,low,0.18,1,1015,firewall,8,2
2.1,2.9,2.7,critical,0.58,0,172,printer,11,1
5.0,9.3,4.5,high,0.49,0,1132,server,10,2
8.7,4.5,7.0,critical,0.74,1,1554,workstation,2,4
2.8,9.1,8.1,medium,0.86,0,717,server,0,3
2.1,3.0,3.4,medium,0.64,1,689,workstation,2,2
4.6,2.2,2.8,low,0.72,1,1416,ids,5,2
3.2,1.9,9.2,critical,0.46,0,1599,printer,9,2
6.2,2.3,8.0,medium,0.38,1,1276,printer,10,3
7.3,2.5,8.6,high,0.75,0,1426,printer,6,3
7.8,5.7,2.2,low,0.4,1,83,ids,0,3
8.8,6.2,5.8,medium,0.75,0,1166,firewall,8,3
8.6,6.2,5.5,low,0.53,1,1965,server,3,3
3.5,8.9,3.8,medium,0.34,0,1735,ids,3,2
2.1,2.2,4.6,critical,0.37,1,661,workstation,0,1
4.9,9.1,9.2,low,0.42,1,1666,server,8,3
9.4,3.8,10.0,low,0.11,0,1353,printer,12,3
7.9,3.4,6.4,high,0.98,0,1926,server,3,3
5.9,8.1,4.5,high,0.37,1,927,server,12,3
8.7,7.7,1.7,high,0.56,0,979,server,0,3
7.4,4.8,7.5,low,0.42,0,814,printer,1,3
7.1,1.6,7.5,critical,0.34,0,1437,workstation,6,2
7.4,9.3,5.2,low,1.0,1,789,printer,2,4
7.1,3.9,3.3,high,0.47,0,1501,ids,9,2
5.1,8.9,5.4,critical,0.95,0,1746,server,2,3
8.7,4.3,4.0,medium,0.63,1,1273,server,7,3
9.0,3.4,1.9,high,0.19,1,180,printer,12,3
6.4,9.3,9.3,low,0.22,0,1635,printer,11,3
3.9,3.6,1.4,critical,0.8,1,488,ids,9,2
4.5,9.2,2.6,low,0.19,1,928,printer,1,2
8.5,2.2,9.4,medium,0.1,0,65,firewall,8,2
4.7,6.6,1.5,critical,0.84,0,806,ids,12,2
8.0,9.6,7.2,high,0.43,1,1560,printer,0,4
6.6,5.2,6.9,critical,0.86,1,1605,printer,4,3
7.3,4.3,5.0,medium,0.52,1,1256,firewall,5,3
5.1,3.6,2.9,low,0.8,0,761,workstation,0,2
9.3,4.0,2.4,medium,0.59,1,305,server,6,3
8.6,7.8,6.5,high,0.43,1,69,printer,8,4
6.6,6.3,5.8,low,0.22,1,901,workstation,5,3
6.5,4.5,7.9,high,0.14,1,898,server,1,3
5.7,3.9,6.1,low,0.88,1,1080,workstation,5,3
7.7,1.2,1.8,medium,0.46,0,145,workstation,10,2
10.0,7.8,9.2,low,0.39,0,1378,ids,0,4
3.9,7.7,5.6,low,0.79,1,1173,printer,5,3
8.8,3.4,9.5,low,0.57,0,1482,firewall,9,3
5.2,3.9,2.8,critical,0.89,0,1015,server,0,2
8.4,7.4,2.8,critical,0.18,0,1905,firewall,9,2
3.7,5.8,8.9,critical,0.73,0,676,server,11,2
5.6,2.2,6.6,critical,0.9,1,1687,firewall,7,3
8.5,7.8,3.9,medium,0.72,1,332,workstation,2,4
9.0,3.0,3.0,low,0.89,0,1528,ids,0,3
8.2,5.9,6.5,low,0.74,1,1862,printer,10,4
3.4,3.8,4.7,critical,0.92,0,1739,server,5,2
6.1,5.1,6.1,critical,0.67,0,735,server,2,3
